design,source,epochs,batch_size,train_steps,initial_loss,final_loss,loss_delta,loss_decreased,training_compare,native_accumulated_optimizer,eval_only_loss_mode,software_reference_match,status,notes
deeplearn_Pipeline_VITIS_LOOP_154_20,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.5.0.fe.end.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
deeplearn_Pipeline_VITIS_LOOP_156_21,artifacts/training_cnn_stream_converge_3epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.5.0.fe.end.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
deeplearn_Pipeline_VITIS_LOOP_157_22,artifacts/training_cnn_stream_converge_3epoch_b4_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.5.0.fe.end.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
deeplearn_Pipeline_VITIS_LOOP_159_23,artifacts/training_cnn_stream_converge_3epoch_b4_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.5.0.fe.end.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
deeplearn_Pipeline_VITIS_LOOP_160_24,artifacts/training_cnn_stream_converge_3epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.5.0.fe.end.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
deeplearn_Pipeline_VITIS_LOOP_167_26,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.5.0.fe.end.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
deeplearn_Pipeline_VITIS_LOOP_176_34,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.5.0.fe.end.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
deeplearn_Pipeline_VITIS_LOOP_177_35,artifacts/training_cnn_stream_converge_3epoch_b4_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.5.0.fe.end.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
deeplearn_Pipeline_VITIS_LOOP_180_38,artifacts/training_cnn_stream_converge_3epoch_b4_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.5.0.fe.end.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
deeplearn_Pipeline_VITIS_LOOP_181_39,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.5.0.fe.end.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
deeplearn_Pipeline_VITIS_LOOP_182_40,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.5.0.fe.end.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
deeplearn_Pipeline_VITIS_LOOP_183_41,artifacts/training_cnn_stream_converge_3epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.5.0.fe.end.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
deeplearn_Pipeline_VITIS_LOOP_184_42,artifacts/training_cnn_stream_converge_3epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.5.0.fe.end.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
deeplearn_Pipeline_VITIS_LOOP_205_44,artifacts/training_cnn_stream_converge_3epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.5.0.fe.end.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
deeplearn_Pipeline_VITIS_LOOP_216_47,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.5.0.fe.end.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
deeplearn_Pipeline_VITIS_LOOP_217_48,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.5.0.fe.end.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
deeplearn_Pipeline_VITIS_LOOP_218_49,artifacts/training_cnn_stream_converge_3epoch_b4_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.5.0.fe.end.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
deeplearn_Pipeline_VITIS_LOOP_219_50,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.5.0.fe.end.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
deeplearn_Pipeline_VITIS_LOOP_221_51,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.5.0.fe.end.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
deeplearn_Pipeline_VITIS_LOOP_222_52,artifacts/training_cnn_stream_converge_3epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.5.0.fe.end.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
deeplearn_Pipeline_VITIS_LOOP_224_53,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.5.0.fe.end.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
deeplearn_Pipeline_VITIS_LOOP_234_55,artifacts/training_cnn_stream_converge_3epoch_b4_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.5.0.fe.end.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
deeplearn_Pipeline_VITIS_LOOP_238_58,artifacts/training_cnn_stream_converge_3epoch_b4_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.5.0.fe.end.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
deeplearn_fdiv_32ns_32ns_32_16_no_dsp_1_ip,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/sol1_data.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
deeplearn_fdiv_32ns_32ns_32_30_no_dsp_1_ip,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/sol1_data.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
deeplearn_fpext_32ns_64_2_no_dsp_1_ip,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/sol1_data.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
deeplearn_fpext_32ns_64_4_no_dsp_1_ip,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/sol1_data.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
deeplearn_sitofp_32ns_32_6_no_dsp_1_ip,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/sol1_data.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
deeplearn_sitofp_32ns_32_7_no_dsp_1_ip,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/sol1_data.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
dense0,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/ir/layerwise_precision.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
"dense_backward_input_typed<676, 10, ap_fixed<32, 16, AP_TRN, AP_WRAP, 0>, ap_fixed<20, 8, AP_TRN, AP_WRAP, 0>, ap_fixed<32, 16, AP_TRN, AP_WRAP, 0>, ap_fixed<40, 20, AP_TRN, AP_WRAP, 0>, 1, 2, 2, 2, 2, 4>",artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.3.000.fe.link.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
"dense_bias_grad_typed<10, ap_fixed<32, 16, AP_TRN, AP_WRAP, 0>, ap_fixed<32, 16, AP_TRN, AP_WRAP, 0>, 1, 2>",artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.3.001.fe.unroll-raw.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
"dense_out_in<676, 10, ap_fixed<24, 12, AP_TRN, AP_WRAP, 0>, ap_fixed<24, 12, AP_TRN, AP_WRAP, 0>, ap_fixed<20, 8, AP_TRN, AP_WRAP, 0>, ap_fixed<32, 16, AP_TRN, AP_WRAP, 0>, ap_fixed<40, 20, AP_TRN, AP_WRAP, 0>, 1, 2, 2, 2, 2, 4>",artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.3.001.fe.unroll-raw.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
